blur_score,brightness,contrast,unique_id,dataset,split
697.4681663513184,100.99053332270408,52.727501962033585,20060412_60751_0200_PP,Messidor,train
486.8095235792809,72.53766741071429,39.69560438920578,20051214_42363_0100_PP,Messidor,train
420.63303046006064,68.98634805484694,36.94408837452412,IM003726,Messidor,train
431.16909202780636,88.59074059311224,47.69297427799504,189cbbc9e5e3,APTOS,train
579.5704717211106,72.43229830994898,39.14188362761031,IM002643,Messidor,train
674.7570929648429,95.31148357780613,51.126270587124274,20060407_39155_0200_PP,Messidor,train
557.7819211162264,109.96113679846938,56.42098131748141,20060407_39667_0200_PP,Messidor,train
220.60429164341517,87.4848333864796,37.627679233027784,IDRiD_163_train,IDRiD,train
363.9447022846767,75.04587850765306,40.14085392033099,20051213_62648_0100_PP,Messidor,train
396.5219910608535,72.94096779336735,38.40377521942592,20051021_40180_0100_PP,Messidor,train
469.3309291075389,77.20792809311224,40.86751000303475,20051110_38280_0400_PP,Messidor,train
400.4891944577028,82.6020806760204,41.99175277546153,4ab8c0cece7f,APTOS,train
394.02378298311817,84.37922512755102,43.659081938946144,6d6be4cfc73f,APTOS,train
325.989605866686,90.02515146683673,45.23149036236994,27933cdbe0cc,APTOS,train
308.7066742350091,106.84103954081633,53.618066405168406,20060410_40403_0200_PP,Messidor,train
355.5425651705995,98.9830397002551,42.41488949532379,IDRiD_293_train,IDRiD,train
540.8194116848997,75.8315728635204,41.69755409689179,20051214_56392_0100_PP,Messidor,train
435.2063768427355,113.4901347257653,57.58335813844434,20060412_61064_0200_PP,Messidor,train
351.5916869935271,101.43995137117346,48.80477387015299,IDRiD_196_train,IDRiD,train
626.4763530582649,73.98357780612245,41.37812711399658,20051202_55834_0400_PP,Messidor,train
492.07505580357144,78.00476323341837,43.306670052426334,a9e3d186cd1b,APTOS,train
794.9009374501754,94.90413743622449,50.31302820522822,20060529_57287_0100_PP,Messidor,train
450.28645293526927,76.67608019770408,41.725728733792266,a528be013a04,APTOS,train
549.3033272307498,92.31891741071429,48.99998224282728,20051216_47420_0200_PP,Messidor,train
380.8168869459446,73.52178332270408,39.09222649287867,20051130_54943_0400_PP,Messidor,train
644.7330368050731,84.13295200892857,45.69738982137313,20051020_45110_0100_PP,Messidor,train
437.80124859688726,94.78374123086735,48.86841493397145,20060412_60978_0200_PP,Messidor,train
413.57401359801196,76.25215242346938,40.35072240912797,20060530_51377_0100_PP,Messidor,train
672.2060801527093,103.56353635204081,53.71465145018753,20060411_60533_0200_PP,Messidor,train
406.2008784292937,86.87739158163265,43.98689320260152,eed4afc8ec83,APTOS,train
499.8093955132526,78.2008131377551,40.73403798327624,IM001560,Messidor,train
423.52217653044954,86.10540896045919,44.86654128485497,20051130_55107_0400_PP,Messidor,train
258.28462711605914,67.46167490433673,36.69550754319742,7ba6b23c4b46,APTOS,train
437.1597282778268,92.48917809311224,38.022427079439986,IDRiD_086_test,IDRiD,train
758.2536223287237,85.41926419005102,41.557427604785055,IDRiD_199_train,IDRiD,train
621.5039964868147,96.78635204081633,50.76652311845653,20060410_39879_0200_PP,Messidor,train
762.0720837329736,98.37091438137755,51.548286521286194,20060522_45541_0100_PP,Messidor,train
208.72489335585612,75.74726961096938,35.10112319809086,IDRiD_009_train,IDRiD,train
195.42351307287063,59.78282445790816,33.060994320593494,4cddfc22b0ad,APTOS,train
344.5622377721333,93.0473931760204,46.376280928694285,9ce46d400cd6,APTOS,train
536.0669025498992,86.19090800382654,44.45814561831188,f85c78201a50,APTOS,train
313.40760350694063,85.88201530612245,34.63749484761626,IDRiD_016_train,IDRiD,train
292.47975716676285,79.27216198979592,41.73164221130449,20051205_35142_0400_PP,Messidor,train
388.58057260890644,110.72642299107143,55.81431960926731,20060407_42133_0200_PP,Messidor,train
